harvest,post,slope_pct,wall_width_m,wall_high_outside_m,wall_high_m,wall_two_outside_m,wall_width,wall_ht_highest_inside,wall_ht_outside_highest_ft,wall_ht_outside_two_ft,built,year,month,elapsed
gas_line,231,-11.627906976744185,6.5532,3.6576000000000004,2.8956,2.1336,21.5,9.5,12,7,2017_06,2018,10,16
gas_line,231,-19.444444444444443,5.486400000000001,3.6576000000000004,2.5908,2.286,18,8.5,12,7.5,2017_06,2019,11,29
gas_line,231,-18.181818181818183,5.0292,2.286,1.3716000000000002,1.9812,16.5,4.5,7.5,6.5,2017_06,2020,10,40
gas_line,232,-20,6.096,4.7244,3.5052000000000003,3.5052000000000003,20,11.5,15.5,11.5,2017_06,2017,7,1
gas_line,232,-35.483870967741936,4.7244,4.2672,2.5908,4.1148,15.5,8.5,14,13.5,2017_06,2018,10,16
gas_line,232,-15.789473684210526,5.7912,3.5052000000000003,2.5908,2.5908,19,8.5,11.5,8.5,2017_06,2019,11,29
gas_line,232,-15.217391304347826,7.010400000000001,3.3528000000000002,2.286,2.286,23,7.5,11,7.5,2017_06,2020,10,40
gas_line,233,-27.272727272727273,5.0292,4.4196,3.048,3.3528000000000002,16.5,10,14.5,11,2017_06,2017,7,1
gas_line,233,-21.568627450980394,7.7724,3.5052000000000003,1.8288000000000002,2.8956,25.5,6,11.5,9.5,2017_06,2018,10,16
gas_line,233,-19.565217391304348,7.010400000000001,2.8956,1.524,2.7432000000000003,23,5,9.5,9,2017_06,2019,11,29
gas_line,233,-15.217391304347826,7.010400000000001,2.4384,1.3716000000000002,2.4384,23,4.5,8,8,2017_06,2020,10,40
gas_line,234,-13.675213675213673,5.9436,3.556,2.7432000000000003,2.4892,19.5,9,11.666666666666666,8.166666666666666,2017_06,2017,7,1
gas_line,234,-13.513513513513514,5.638800000000001,3.3528000000000002,2.5908,2.286,18.5,8.5,11,7.5,2017_06,2018,10,16
gas_line,234,-16.216216216216218,5.638800000000001,4.1148,3.2004,2.286,18.5,10.5,13.5,7.5,2017_06,2019,11,29
gas_line,234,-12.820512820512821,5.9436,3.9624,3.2004,2.1336,19.5,10.5,13,7,2017_06,2020,10,40
gas_line,235,-13.166666666666666,6.096,4.61264,3.81,3.08864,20,12.5,15.133333333333333,10.133333333333333,2017_06,2017,7,1
gas_line,235,-35,3.048,4.7244,3.6576000000000004,3.2004,10,12,15.5,10.5,2017_06,2018,10,16
gas_line,235,-11.16279069767442,6.5532,4.23672,3.5052000000000003,2.7127200000000005,21.5,11.5,13.9,8.9,2017_06,2019,11,29
gas_line,235,-9.30232558139535,6.5532,2.8956,2.286,1.9812,21.5,7.5,9.5,6.5,2017_06,2020,10,40
gas_line,236,-9.559748427672956,8.077200000000001,5.64896,4.8768,2.60096,26.5,16,18.53333333333333,8.533333333333333,2017_06,2017,7,1
gas_line,236,-11.11111111111111,8.2296,4.572,3.6576000000000004,2.4384,27,12,15,8,2017_06,2018,10,16
gas_line,236,-10.909090909090908,8.382,4.4196,3.5052000000000003,2.4384,27.5,11.5,14.5,8,2017_06,2019,11,29
gas_line,236,-5.925925925925925,8.2296,3.84048,3.3528000000000002,2.01168,27,11,12.6,6.6,2017_06,2020,10,40
